,jobTitle,companyName,meanPay,payRange
0,Data Analyst,Bloomberg L.P.,"$69,365",N/A
1,Data Analyst,Capital One,"$72,795",N/A
2,Data Analyst,Comscore,"$72,368",N/A
3,Data Analyst,Morningstar,"$53,081",N/A
4,Data Analyst,IHME,"$51,311",N/A
5,Data Analyst,Progressive Insurance,"$74,582",N/A
6,Data Analyst,Benefitfocus,"$41,998",N/A
7,Data Analyst,IBM,"$75,529",N/A
8,Data Analyst,ULab,"$98,683",N/A
9,Data Analyst,Hanusoft,"$75,895",N/A
10,Data Analyst,J.P. Morgan,"$68,544",N/A
11,Data Analyst,Humana,"$58,265",N/A
12,Data Analyst,UnitedHealth Group,"$66,019",N/A
13,Data Analyst,Kaiser Permanente,"$73,578",N/A
14,Data Analyst,University of Pennsylvania,"$59,947",N/A
15,Data Analyst,Vanguard,"$64,657",N/A
16,Data Analyst,Kearney,"$81,703",N/A
17,Data Analyst,Cognizant Technology Solutions,"$69,103",N/A
18,Data Analyst,Nielsen,"$57,259",N/A
19,Data Analyst - Hourly,Amazon,$17,N/A
20,Data Analyst,Amazon,"$60,172",N/A
21,Data Analyst,Stanford University,"$73,553",N/A
22,Data Analyst,Syniti,"$82,278",N/A
23,Data Analyst,Sedgwick Claims Management Services,"$61,516",N/A
24,Data Analyst,State Farm,"$78,332",N/A
25,Data Analyst - Hourly,FSA,$27,N/A
26,Data Analyst,Google,"$94,306",N/A
27,Data Analyst,Hewlett-Packard,"$77,636",N/A
28,Data Analyst,Apple,"$89,266",N/A
29,Data Analyst,Verizon,"$74,671",N/A
30,Data Analyst,Facebook,"$103,113",N/A
31,Data Analyst,NYU Langone Health,"$62,012",N/A
32,Data Analyst,AT&T,"$78,062",N/A
33,Data Analyst,Cerner,"$50,572",N/A
34,Data Analyst - Hourly Contractor,Apex Systems,$18,N/A
35,Data Analyst,General Motors (GM),"$75,050",N/A
36,Data Analyst,EY,"$67,743",N/A
37,Data Analyst,Columbia University,"$63,988",N/A
38,Data Analyst,Booz Allen Hamilton,"$84,064",N/A
39,Data Analyst,Ciber,"$60,582",N/A
40,Data Analyst,Cisco Systems,"$86,063",N/A
41,Data Analyst,Digitas,"$59,319",N/A
42,Data Analyst,Citi,"$61,534",N/A
43,Data Analyst,Uber,"$99,321",N/A
44,Data Analyst - Hourly Contractor,Insight Global,$30,N/A
45,Data Analyst,Liberty Mutual Insurance,"$75,153",N/A
46,Data Analyst,LexisNexis Risk Solutions,"$49,948",N/A
47,Data Analyst,NCI,"$66,178",N/A
48,Data Analyst,Gabriels Technology Solutions,"$62,274",N/A
49,Data Analyst,Esurance,"$99,904",N/A
50,Data Analyst,PwC,"$69,097",N/A
51,Data Analyst,Management Science Associates,"$42,940",N/A
52,Data Analyst,Accenture,"$68,703",N/A
