,jobTitle,companyName,meanPay,payRange
95,Data Analyst - Hourly,Sony,$24,$23 - $25
96,Data Analyst,AARP,"$89,511",$86K - $93K
97,Data Analyst,Thrive Chicago,"$59,057",$57K - $62K
98,Data Analyst,Digital Dhara,"$59,859",$58K - $62K
99,Data Analyst,Berkeley Research Group,"$90,324",$86K - $93K
100,Data Analyst,Paychex,"$68,904",$66K - $72K
101,Data Analyst,RedSalsa Technologies,"$67,678",$66K - $70K
102,Data Analyst - Hourly Intern,Doctors Hospital at Renaissance,$16,$15 - $16
103,Data Analyst,City and County of Denver,"$82,640",$80K - $86K
104,Data Analyst,Wesco Aircraft Hardware,"$51,358",$49K - $53K
105,Data Analyst,C&S Wholesale Grocers,"$48,875",$47K - $51K
106,Data Analyst - Hourly Contractor,Lowe's,$27,$26 - $27
107,Data Analyst,"100,000 Strong Foundation","$83,907",$81K - $87K
108,Data Analyst,American Geophysical Union,"$90,535",$86K - $95K
109,Data Analyst - Monthly,Raybeam,"$10,189",$10K - $11K
110,Data Analyst - Contractor,Disney Consumer Products,"$113,974",$109K - $119K
111,Data Analyst,Quicken,"$71,534",$68K - $75K
112,Data Analyst - Hourly Contractor,The Panther Group,$19,$18 - $20
113,Data Analyst - Hourly Intern,Tellon Trading,$14,$13 - $15
114,Data Analyst,Employment Screening Services,"$35,660",$34K - $37K
115,Data Analyst,BrandJump,"$36,709",$36K - $38K
116,Data Analyst - Intern,Modern Office Methods,"$32,484",$31K - $34K
117,Data Analyst - Hourly Intern,AstraZeneca,$17,$17 - $18
118,Data Analyst - Hourly,L3 Technologies,$16,$16 - $17
119,Data Analyst - Hourly Intern,Institutional Shareholder Services,$13,$12 - $14
120,Data Analyst,Segment,"$110,000",$106K - $115K
121,Data Analyst,High Point Regional Health,"$91,950",$87K - $96K
122,Data Analyst - Hourly,Pathways,$22,$22 - $23
123,Data Analyst,Emory University School of Medicine,"$53,900",$52K - $56K
124,Data Analyst,Gaming Laboratories International,"$61,862",$60K - $64K
125,Data Analyst - Hourly,Pine Environmental Services,$15,$15 - $16
126,Data Analyst - Hourly Contractor,Keystone Collections Group,$16,$15 - $16
127,Data Analyst - Hourly Contractor,MAG Mutual Insurance,$17,$16 - $18
128,Data Analyst - Hourly Intern,Lanyon,$12,$11 - $12
129,Data Analyst,Fair,"$115,000",$110K - $119K
130,Data Analyst,Stat9,"$79,293",$77K - $82K
131,Data Analyst - Hourly Intern,Bright Power,$14,$13 - $14
132,Data Analyst,Mylan Inc,"$71,602",$69K - $74K
133,Data Analyst - Hourly Intern,American Fidelity Assurance Company,$20,$19 - $21
134,Data Analyst,BAE Systems Applied Intelligence,"$39,997",$38K - $41K
135,Data Analyst,Plus Consulting,"$65,722",$62K - $69K
136,Data Analyst,Episource ,"$63,988",$62K - $66K
137,Data Analyst,Amplify,"$80,689",$77K - $83K
138,Data Analyst,Dodge Data & Analytics,"$48,000",$46K - $49K
139,Data Analyst,Cogent Research,"$81,673",$78K - $85K
140,Data Analyst,Tripadvisor,"$137,546",$131K - $142K
141,Data Analyst,New Jersey Innovation Institute,"$61,127",$58K - $63K
142,Data Analyst,Scribd,"$101,358",$98K - $106K
143,Data Analyst,APCO Worldwide,"$68,454",$66K - $71K
144,Data Analyst - Hourly,Myriad Genetics,$21,$20 - $22
145,Data Analyst,Pyramid Management Group,"$42,765",$41K - $44K
146,Data Analyst,Bartlett Dairy,"$93,397",$90K - $96K
147,Data Analyst - Hourly Contractor,Case IH,$18,$17 - $19
148,Data Analyst - Hourly,Syngenta,$29,$28 - $30
149,Data Analyst - Hourly,PCT International,$20,$19 - $21
150,Data Analyst - Hourly Intern,OpenX,$33,$32 - $34
151,Data Analyst,Sonoco Products,"$65,265",$62K - $68K
152,Data Analyst - Hourly,Massanutten Resort,$12,$11 - $12
153,Data Analyst,Arbella Insurance,"$73,364",$70K - $76K
154,Data Analyst,Associa,"$60,754",$58K - $63K
155,Data Analyst,Social Security Administration,"$80,940",$78K - $84K
156,Data Analyst,Braintree,"$90,200",$86K - $93K
157,Data Analyst,Vrbo,"$100,071",$97K - $105K
158,Data Analyst,Cameron,"$86,333",$83K - $90K
159,Data Analyst - Hourly,ABC,$15,$15 - $16
160,Data Analyst - Hourly Contractor,Ideal Setech,$20,$19 - $21
161,Data Analyst,LifeMasters Supported SelfCare,"$94,063",$91K - $97K
162,Data Analyst - Hourly Contractor,Iron Mountain Inc,$82,$79 - $85
163,Data Analyst - Hourly,West Interactive Services,$18,$17 - $18
164,Data Analyst - Hourly Intern,Avis Budget Group,$21,$20 - $21
165,Data Analyst,University of Missouri,"$59,859",$58K - $62K
166,Data Analyst,TriNet,"$77,654",$75K - $81K
167,Data Analyst - Hourly,Youngquist Brothers,$14,$14 - $15
168,Data Analyst,Denken Solutions,"$62,998",$60K - $66K
169,Data Analyst,Intertek,"$37,846",$37K - $40K
170,Data Analyst,Portsmouth Naval Shipyard,"$81,276",$78K - $84K
171,Data Analyst,Firewood Marketing,"$115,292",$110K - $121K
172,Data Analyst,Calexus Solutions,"$55,108",$53K - $58K
173,Data Analyst - Hourly,Ameresco,$14,$13 - $15
174,Data Analyst - Hourly,Osmose,$17,$16 - $18
175,Data Analyst,Guardian Asset Management,"$32,603",$31K - $34K
176,Data Analyst,Preferred Care Partners,"$44,586",$43K - $46K
177,Data Analyst,Amerihome Mortgage,"$73,368",$71K - $76K
178,Data Analyst,"PARAM HEALTHCARE & IT SERVICES, INC","$47,419",$45K - $49K
179,Data Analyst,DHI Group,"$99,993",$95K - $104K
180,Data Analyst,Beam Global Spirits & Wine,"$54,976",$53K - $57K
181,Data Analyst - Hourly Intern,Spire,$18,$17 - $18
182,Data Analyst,Jaxtr,"$102,202",$97K - $106K
183,Data Analyst,Family & Child Guidance Center,"$34,022",$32K - $35K
184,Data Analyst - Contractor,Active Network,"$134,482",$130K - $141K
185,Data Analyst,National Data & Surveying Services,"$36,679",$35K - $38K
186,Data Analyst,Danco,"$69,240",$66K - $73K
187,Data Analyst,Driveline Retail Merchandising,"$50,628",$48K - $52K
188,Data Analyst,Regal Plastic Supply,"$45,686",$44K - $48K
189,Data Analyst,Sila Solutions Group,"$94,435",$92K - $98K
190,Data Analyst - Hourly Intern,Classical Charter Schools,$25,$25 - $26
191,Data Analyst,American Health Care Association,"$96,359",$92K - $100K
192,Data Analyst,Fortress Information Security,"$53,999",$52K - $57K
193,Data Analyst - Hourly,Wayne Fueling Systems,$23,$22 - $24
194,Data Analyst,City of Minneapolis,"$79,455",$76K - $82K
195,Data Analyst,Cahill & Casey Insurance,"$62,450",$60K - $65K
196,Data Analyst,Nexon M,"$106,206",$101K - $110K
197,Data Analyst,Udacity,"$94,113",$90K - $97K
198,Data Analyst,Environmental Defense Fund,"$69,517",$66K - $73K
199,Data Analyst,SCI IT SOLUTIONS PVT LTD,"$58,991",$56K - $62K
200,Data Analyst,West Asset Management,"$76,186",$73K - $80K
201,Data Analyst,Ponderosa Advisors,"$58,416",$57K - $61K
202,Data Analyst - Hourly,LinkedIn,$55,$53 - $57
203,Data Analyst - Hourly Contractor,Goldman Sachs,$20,$19 - $21
204,Data Analyst,Chenega Corporation,"$45,032",$43K - $47K
205,Data Analyst,UC Health,"$49,364",$47K - $51K
206,Data Analyst - Contractor,Rylem,"$69,240",$66K - $72K
207,Data Analyst,"Super Micro Computer, Inc. (Supermicro)","$69,269",$67K - $72K
208,Data Analyst,Kongsberg Automotive,"$59,515",$57K - $62K
209,Data Analyst - Hourly Intern,Chemours,$30,$28 - $31
210,Data Analyst - Hourly,City and County of San Francisco,$59,$56 - $61
211,Data Analyst,Skyworks Solutions,"$97,453",$94K - $102K
212,Data Analyst - Hourly,CDI Corporation,$34,$32 - $35
213,Data Analyst - Hourly,Mutual Securities,$15,$15 - $16
214,Data Analyst,Sysco,"$62,653",$60K - $65K
215,Data Analyst - Hourly Intern,HCL Technologies,$21,$20 - $22
216,Data Analyst - Hourly,ICON Health & Fitness,$20,$19 - $21
217,Data Analyst,Kapsch,"$79,056",$76K - $83K
218,Data Analyst,US Postal Service,"$105,895",$103K - $111K
219,Data Analyst - Hourly Intern,PCCI ,$17,$16 - $18
220,Data Analyst,Indegene,"$78,064",$76K - $82K
221,Data Analyst,OmedaRx,"$65,850",$63K - $68K
222,Data Analyst,Dexcom,"$40,682",$39K - $42K
223,Data Analyst,Latham Pool Products,"$44,997",$43K - $46K
224,Data Analyst - Contractor,GE Healthcare,"$62,400",$59K - $64K
225,Data Analyst,Virtual MGA,"$62,039",$60K - $65K
226,Data Analyst,Reli Group,"$59,859",$57K - $62K
227,Data Analyst - Hourly Contractor,DXC Technology,$28,$27 - $29
228,Data Analyst,U.S. Venture,"$54,740",$53K - $57K
229,Data Analyst,Wolverine Trading,"$77,811",$74K - $81K
230,Data Analyst,Subway,"$60,700",$59K - $63K
231,Data Analyst,Zacks Investment Management,"$47,500",$45K - $49K
232,Data Analyst - Hourly,SourceHOV,$13,$13 - $14
233,Data Analyst,Pearson Online & Blended Learning,"$55,945",$54K - $59K
234,Data Analyst - Intern,Lela.com,"$53,702",$51K - $56K
235,Data Analyst - Monthly Contractor,National Association of Boards of Pharmacy,"$3,392",$3K - $4K
236,Data Analyst,V + O Communication Romania,"$64,766",$63K - $67K
