jobTitle,companyName,meanPay,payRange
Data Visualisation - Intern,Commonwealth Bank of Australia,"A$52,581",A$50K - A$55K
Data Visualisation Associate - Hourly,Commonwealth Bank of Australia,A$40,A$38 - A$41
