jobTitle,companyName,meanPay,payRange
Data Engineer,Datacom Systems,"NZ$105,000",NZ$101K - NZ$108K
Data Engineer,Bank of New Zealand,"NZ$103,000",NZ$98K - NZ$107K
Data Engineer,Trade Me,"NZ$87,500",NZ$85K - NZ$91K
Data Engineer,Vend,"NZ$95,000",NZ$91K - NZ$98K
Data Engineer,ezyVet,"NZ$75,000",NZ$73K - NZ$77K
Data Engineer,Loyalty New Zealand,"NZ$75,000",NZ$72K - NZ$78K
Data Engineer,Plexure,"NZ$75,000",NZ$72K - NZ$78K
Senior Data Support Engineer,Two Degrees Mobile,"NZ$91,448",NZ$87K - NZ$95K
Senior Data Engineer,SLI Systems,"NZ$100,000",NZ$96K - NZ$105K
